Geneid,start,end,strand,seqname,source,feature,score,ID,Parent,Dbxref,Name,Ontology_term,gbkey,gene,go_function,go_process,inference,product,protein_id,transl_table,go_component,Note,partial,pseudo,start_range,end_range,exception
SAUSA300_RS07660,1570074,1571765,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000153540.1,gene-SAUSA300_RS07660,GenBank:WP_000153540.1,WP_000153540.1,GO:0004519!!!GO:0005524!!!GO:0140657,CDS,NA,endonuclease activity|0004519||IEA!!!ATP binding|0005524||IEA!!!ATP-dependent activity|0140657||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500054.1,terminase large subunit,WP_000153540.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07665,1571755,1572060,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000778933.1,gene-SAUSA300_RS07665,GenBank:WP_000778933.1,WP_000778933.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500055.1,P27 family phage terminase small subunit,WP_000778933.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07670,1572187,1572501,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000160686.1,gene-SAUSA300_RS07670,GenBank:WP_000160686.1,WP_000160686.1,GO:0003676!!!GO:0004519!!!GO:0008270,CDS,NA,nucleic acid binding|0003676||IEA!!!endonuclease activity|0004519||IEA!!!zinc ion binding|0008270||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500056.1,HNH endonuclease,WP_000160686.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07675,1572658,1573095,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000528512.1,gene-SAUSA300_RS07675,GenBank:WP_000528512.1,WP_000528512.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500057.1,transcriptional regulator,WP_000528512.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07680,1573108,1574475,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001801648.1,gene-SAUSA300_RS07680,GenBank:WP_001801648.1,WP_001801648.1,GO:0005524!!!GO:0140658,CDS,NA,ATP binding|0005524||IEA!!!ATP-dependent chromatin remodeler activity|0140658||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500058.1,SNF2-related protein,WP_001801648.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07685,1574456,1574746,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001548892.1,gene-SAUSA300_RS07685,GenBank:WP_001548892.1,WP_001548892.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500059.1,VRR-NUC domain-containing protein,WP_001548892.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07690,1574880,1574978,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001801650.1,gene-SAUSA300_RS07690,GenBank:WP_001801650.1,WP_001801650.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001801650.1,hypothetical protein,WP_001801650.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07695,1575087,1577534,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000884870.1,gene-SAUSA300_RS07695,GenBank:WP_000884870.1,WP_000884870.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000884880.1,VapE domain-containing protein,WP_000884870.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07700,1577822,1578022,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000265252.1,gene-SAUSA300_RS07700,GenBank:WP_000265252.1,WP_000265252.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500064.1,DUF1514 family protein,WP_000265252.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07705,1578090,1578242,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000595263.1,gene-SAUSA300_RS07705,GenBank:WP_000595263.1,WP_000595263.1,NA,CDS,rinB,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000595263.1,transcriptional activator RinB,WP_000595263.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07710,1578239,1578625,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000592202.1,gene-SAUSA300_RS07710,GenBank:WP_000592202.1,WP_000592202.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000592210.1,hypothetical protein,WP_000592202.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07715,1578618,1578854,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000608275.1,gene-SAUSA300_RS07715,GenBank:WP_000608275.1,WP_000608275.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000608273.1,DUF7366 family protein,WP_000608275.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07720,1578847,1579050,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000141180.1,gene-SAUSA300_RS07720,GenBank:WP_000141180.1,WP_000141180.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000141180.1,hypothetical protein,WP_000141180.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07725,1579047,1579253,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000195794.1,gene-SAUSA300_RS07725,GenBank:WP_000195794.1,WP_000195794.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500688.1,DUF1381 domain-containing protein,WP_000195794.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07730,1579290,1579826,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000185671.1,gene-SAUSA300_RS07730,GenBank:WP_000185671.1,WP_000185671.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500690.1,dUTPase,WP_000185671.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07735,1579819,1580067,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001065039.1,gene-SAUSA300_RS07735,GenBank:WP_001065039.1,WP_001065039.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_015974517.1,type II toxin-antitoxin system toxin HigB,WP_001065039.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07740,1580082,1580324,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000132194.1,gene-SAUSA300_RS07740,GenBank:WP_000132194.1,WP_000132194.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500074.1,SAV1978 family virulence-associated passenger protein,WP_000132194.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07745,1580339,1580539,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000235324.1,gene-SAUSA300_RS07745,GenBank:WP_000235324.1,WP_000235324.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500075.1,hypothetical protein,WP_000235324.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07750,1580542,1580799,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000022728.1,gene-SAUSA300_RS07750,GenBank:WP_000022728.1,WP_000022728.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500076.1,DUF3310 domain-containing protein,WP_000022728.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07755,1580799,1581200,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000113974.1,gene-SAUSA300_RS07755,GenBank:WP_000113974.1,WP_000113974.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500077.1,SA1788 family PVL leukocidin-associated protein,WP_000113974.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07760,1581200,1581385,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001164629.1,gene-SAUSA300_RS07760,GenBank:WP_001164629.1,WP_001164629.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500078.1,DUF3113 family protein,WP_001164629.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07765,1581398,1583350,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001801657.1,gene-SAUSA300_RS07765,GenBank:WP_001801657.1,WP_001801657.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500079.1,DNA polymerase,WP_001801657.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07770,1583418,1583975,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000645048.1,gene-SAUSA300_RS07770,GenBank:WP_000645048.1,WP_000645048.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500080.1,DUF2815 family protein,WP_000645048.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07775,1584001,1585167,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000762552.1,gene-SAUSA300_RS07775,GenBank:WP_000762552.1,WP_000762552.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500081.1,DUF2800 domain-containing protein,WP_000762552.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07780,1585164,1585526,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000985979.1,gene-SAUSA300_RS07780,GenBank:WP_000985979.1,WP_000985979.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500082.1,hypothetical protein,WP_000985979.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07785,1585540,1585800,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000291481.1,gene-SAUSA300_RS07785,GenBank:WP_000291481.1,WP_000291481.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000291481.1,DUF1108 family protein,WP_000291481.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07790,1585805,1586107,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000163431.1,gene-SAUSA300_RS07790,GenBank:WP_000163431.1,WP_000163431.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000163432.1,DUF2482 family protein,WP_000163431.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07795,1586100,1586417,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000829612.1,gene-SAUSA300_RS07795,GenBank:WP_000829612.1,WP_000829612.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000829610.1,hypothetical protein,WP_000829612.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07800,1586510,1586644,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_223200572.1,gene-SAUSA300_RS07800,GenBank:WP_223200572.1,WP_223200572.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500084.1,DUF1270 family protein,WP_223200572.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07805,1586683,1586946,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001124198.1,gene-SAUSA300_RS07805,GenBank:WP_001124198.1,WP_001124198.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500085.1,helix-turn-helix domain-containing protein,WP_001124198.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07810,1586971,1587186,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001036299.1,gene-SAUSA300_RS07810,GenBank:WP_001036299.1,WP_001036299.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001097553.1,hypothetical protein,WP_001036299.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07815,1587233,1587472,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001548903.1,gene-SAUSA300_RS07815,GenBank:WP_001548903.1,WP_001548903.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001825326.1,hypothetical protein,WP_001548903.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07820,1587729,1587920,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001115060.1,gene-SAUSA300_RS07820,GenBank:WP_001115060.1,WP_001115060.1,GO:0003677,CDS,NA,DNA binding|0003677||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001115061.1,helix-turn-helix transcriptional regulator,WP_001115060.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07825,1588081,1588410,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000429766.1,gene-SAUSA300_RS07825,GenBank:WP_000429766.1,WP_000429766.1,GO:0003677,CDS,NA,DNA binding|0003677||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000429766.1,helix-turn-helix domain-containing protein,WP_000429766.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07830,1588423,1588884,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000525001.1,gene-SAUSA300_RS07830,GenBank:WP_000525001.1,WP_000525001.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000524999.1,ImmA/IrrE family metallo-endopeptidase,WP_000525001.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07835,1588902,1589336,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000755722.1,gene-SAUSA300_RS07835,GenBank:WP_000755722.1,WP_000755722.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_016170817.1,hypothetical protein,WP_000755722.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07840,1589365,1589760,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000449655.1,gene-SAUSA300_RS07840,GenBank:WP_000449655.1,WP_000449655.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_000449656.1,hypothetical protein,WP_000449655.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07845,1589850,1589996,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001795334.1,gene-SAUSA300_RS07845,GenBank:WP_001795334.1,WP_001795334.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500095.1,hypothetical protein,WP_001795334.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07850,1589993,1590607,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000191466.1,gene-SAUSA300_RS07850,GenBank:WP_000191466.1,WP_000191466.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500096.1,hypothetical protein,WP_000191466.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07855,1590733,1591938,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000264751.1,gene-SAUSA300_RS07855,GenBank:WP_000264751.1,WP_000264751.1,GO:0006310!!!GO:0009009,CDS,NA,site-specific recombinase activity|0009009||IEA,DNA recombination|0006310||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500097.1,tyrosine-type recombinase/integrase,WP_000264751.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07865,1594000,1594929,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001548912.1,gene-SAUSA300_RS07865,GenBank:WP_001548912.1,WP_001548912.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_001825329.1,DUF1672 domain-containing protein,WP_001548912.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07870,1595174,1596925,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000987769.1,gene-SAUSA300_RS07870,GenBank:WP_000987769.1,WP_000987769.1,NA,CDS,srrB,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500100.1,two-component system sensor histidine kinase SrrB,WP_000987769.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07875,1596906,1597631,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000064078.1,gene-SAUSA300_RS07875,GenBank:WP_000064078.1,WP_000064078.1,NA,CDS,srrA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500101.1,two-component system response regulator SrrA,WP_000064078.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07880,1597764,1598501,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000159577.1,gene-SAUSA300_RS07880,GenBank:WP_000159577.1,WP_000159577.1,GO:0001522!!!GO:0009451!!!GO:0003723!!!GO:0009982!!!GO:0140098,CDS,NA,RNA binding|0003723||IEA!!!pseudouridine synthase activity|0009982||IEA!!!catalytic activity%2C acting on RNA|0140098||IEA,pseudouridine synthesis|0001522||IEA!!!RNA modification|0009451||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500102.1,pseudouridine synthase,WP_000159577.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07885,1598494,1599036,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000368653.1,gene-SAUSA300_RS07885,GenBank:WP_000368653.1,WP_000368653.1,GO:0007059!!!GO:0005515,CDS,scpB,protein binding|0005515||IEA,chromosome segregation|0007059||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500103.1,SMC-Scp complex subunit ScpB,WP_000368653.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07890,1599029,1599760,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000273371.1,gene-SAUSA300_RS07890,GenBank:WP_000273371.1,WP_000273371.1,GO:0007059!!!GO:0051301,CDS,NA,NA,chromosome segregation|0007059||IEA!!!cell division|0051301||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500104.1,segregation and condensation protein A,WP_000273371.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07895,1599852,1600358,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001183429.1,gene-SAUSA300_RS07895,GenBank:WP_001183429.1,WP_001183429.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500105.1,DUF309 domain-containing protein,WP_001183429.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07900,1600436,1601323,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000447733.1,gene-SAUSA300_RS07900,GenBank:WP_000447733.1,WP_000447733.1,GO:0006310!!!GO:0009009,CDS,xerD,site-specific recombinase activity|0009009||IEA,DNA recombination|0006310||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500106.1,site-specific tyrosine recombinase XerD,WP_000447733.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07905,1601372,1601821,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000392691.1,gene-SAUSA300_RS07905,GenBank:WP_000392691.1,WP_000392691.1,GO:0006355!!!GO:0003677!!!GO:0003700!!!GO:0046872,CDS,NA,DNA binding|0003677||IEA!!!DNA-binding transcription factor activity|0003700||IEA!!!metal ion binding|0046872||IEA,regulation of DNA-templated transcription|0006355||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500107.1,Fur family transcriptional regulator,WP_000392691.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07910,1601926,1602468,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000365246.1,gene-SAUSA300_RS07910,GenBank:WP_000365246.1,WP_000365246.1,GO:0009132!!!GO:0016817!!!GO:0046872,CDS,NA,hydrolase activity%2C acting on acid anhydrides|0016817||IEA!!!metal ion binding|0046872||IEA,nucleoside diphosphate metabolic process|0009132||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500108.1,NUDIX hydrolase,WP_000365246.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07915,1602550,1603458,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001171351.1,gene-SAUSA300_RS07915,GenBank:WP_001171351.1,WP_001171351.1,GO:0016491,CDS,NA,oxidoreductase activity|0016491||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500109.1,aldo/keto reductase,WP_001171351.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07920,1603674,1603922,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000995800.1,gene-SAUSA300_RS07920,GenBank:WP_000995800.1,WP_000995800.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500110.1,hypothetical protein,WP_000995800.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07925,1603938,1604693,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000678232.1,gene-SAUSA300_RS07925,GenBank:WP_000678232.1,WP_000678232.1,GO:0016491!!!GO:0070401!!!GO:0070403,CDS,NA,oxidoreductase activity|0016491||IEA!!!NADP+ binding|0070401||IEA!!!NAD+ binding|0070403||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500111.1,SDR family NAD(P)-dependent oxidoreductase,WP_000678232.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07930,1604835,1605650,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000779748.1,gene-SAUSA300_RS07930,GenBank:WP_000779748.1,WP_000779748.1,GO:0006561!!!GO:0004735,CDS,proC,pyrroline-5-carboxylate reductase activity|0004735||IEA,proline biosynthetic process|0006561||IEA,COORDINATES: similar to AA sequence:RefSeq:WP_002485765.1,pyrroline-5-carboxylate reductase,WP_000779748.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07935,1605755,1606675,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000454064.1,gene-SAUSA300_RS07935,GenBank:WP_000454064.1,WP_000454064.1,GO:0042780!!!GO:0016891,CDS,rnz,RNA endonuclease activity%2C producing 5'-phosphomonoesters|0016891||IEA,tRNA 3'-end processing|0042780||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500113.1,ribonuclease Z,WP_000454064.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07940,1606988,1608472,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000105070.1,gene-SAUSA300_RS07940,GenBank:WP_000105070.1,WP_000105070.1,GO:0006006!!!GO:0006098!!!GO:0004345!!!GO:0016614!!!GO:0050661,CDS,zwf,glucose-6-phosphate dehydrogenase activity|0004345||IEA!!!oxidoreductase activity%2C acting on CH-OH group of donors|0016614||IEA!!!NADP binding|0050661||IEA,glucose metabolic process|0006006||IEA!!!pentose-phosphate shunt|0006098||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500114.1,glucose-6-phosphate dehydrogenase,WP_000105070.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07945,1608702,1609568,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_000382585.1,gene-SAUSA300_RS07945,GenBank:WP_000382585.1,WP_000382585.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:WP_014373838.1,AraC family transcriptional regulator,WP_000382585.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07950,1609651,1611300,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001041911.1,gene-SAUSA300_RS07950,GenBank:WP_001041911.1,WP_001041911.1,GO:0005975!!!GO:0009311!!!GO:0004553!!!GO:0004556!!!GO:0004574,CDS,NA,hydrolase activity%2C hydrolyzing O-glycosyl compounds|0004553||IEA!!!alpha-amylase activity|0004556||IEA!!!oligo-1%2C6-glucosidase activity|0004574||IEA,carbohydrate metabolic process|0005975||IEA!!!oligosaccharide metabolic process|0009311||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500116.1,glycoside hydrolase family 13 protein,WP_001041911.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07955,1611316,1612335,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000256338.1,gene-SAUSA300_RS07955,GenBank:WP_000256338.1,WP_000256338.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500117.1,LacI family DNA-binding transcriptional regulator,WP_000256338.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07960,1612336,1612590,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_001791638.1,gene-SAUSA300_RS07960,GenBank:WP_001791638.1,WP_001791638.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500118.1,hypothetical protein,WP_001791638.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07965,1612529,1612900,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000413437.1,gene-SAUSA300_RS07965,GenBank:WP_000413437.1,WP_000413437.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500119.1,VOC family protein,WP_000413437.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07970,1613119,1614525,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000193707.1,gene-SAUSA300_RS07970,GenBank:WP_000193707.1,WP_000193707.1,GO:0006098!!!GO:0004616!!!GO:0050661,CDS,gndA,phosphogluconate dehydrogenase (decarboxylating) activity|0004616||IEA!!!NADP binding|0050661||IEA,pentose-phosphate shunt|0006098||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500120.1,NADP-dependent phosphogluconate dehydrogenase,WP_000193707.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07975,1614593,1615726,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000606676.1,gene-SAUSA300_RS07975,GenBank:WP_000606676.1,WP_000606676.1,NA,CDS,NA,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500121.1,tripeptidase T,WP_000606676.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07980,1615989,1616168,+,NC_007793.1,Protein Homology,CDS,.,cds-WP_001789875.1,gene-SAUSA300_RS07980,GenBank:WP_001789875.1,WP_001789875.1,NA,CDS,prli42,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500122.1,stressosome-associated protein Prli42,WP_001789875.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07985,1616295,1617275,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000916195.1,gene-SAUSA300_RS07985,GenBank:WP_000916195.1,WP_000916195.1,GO:0055085!!!GO:0022857!!!GO:0005886,CDS,NA,transmembrane transporter activity|0022857||IEA,transmembrane transport|0055085||IEA,COORDINATES: similar to AA sequence:RefSeq:YP_500124.1,aromatic acid exporter family protein,WP_000916195.1,11,plasma membrane|0005886||IEA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07990,1617289,1617726,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000367419.1,gene-SAUSA300_RS07990,GenBank:WP_000367419.1,WP_000367419.1,NA,CDS,brxB,NA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500125.1,bacilliredoxin BrxB,WP_000367419.1,11,NA,NA,NA,NA,NA,NA,NA
SAUSA300_RS07995,1618077,1619351,-,NC_007793.1,Protein Homology,CDS,.,cds-WP_000406842.1,gene-SAUSA300_RS07995,GenBank:WP_000406842.1,WP_000406842.1,GO:0016407!!!GO:0045240,CDS,NA,acetyltransferase activity|0016407||IEA,NA,COORDINATES: similar to AA sequence:RefSeq:YP_500126.1,dihydrolipoamide acetyltransferase family protein,WP_000406842.1,11,alpha-ketoacid dehydrogenase complex|0045240||IEA,NA,NA,NA,NA,NA,NA
